home,away,rec,op_rec,home_rec,op_away_rec,off,def,op_off,op_def,hop,aop,hdp,adp,div,result
NYG,PHI,2,8,3,7,3,8,7,3,1,8,6,2,True,False
NO,NYJ,7,4,8,2,8,5,2,6,8,3,4,6,False,True
SEA,LA,6,7,5,8,4,4,6,5,5,8,4,4,True,False
SF,TEN,4,6,4,4,5,6,3,5,4,4,6,5,False,True
PIT,NE,8,8,7,8,8,3,8,8,6,8,3,2,False,False
OAK,DAL,4,6,5,7,4,6,4,4,3,4,6,4,False,False
TB,ATL,4,7,5,6,6,8,6,4,4,4,6,3,True,False
BAL,IND,6,3,6,2,2,4,1,8,6,1,3,7,False,True
GB,MIN,5,8,5,7,2,6,6,1,3,5,6,1,True,False
CIN,DET,5,6,5,6,1,5,5,7,2,6,5,6,False,True
KC,MIA,7,4,7,3,7,7,2,5,6,2,4,7,False,True
NE,BUF,8,6,7,4,8,8,2,7,8,3,2,5,True,True
CHI,CLE,4,1,4,1,1,4,2,5,1,1,3,7,False,True
CAR,TB,7,4,7,2,4,4,6,8,5,4,4,6,True,True
NO,ATL,7,7,8,6,8,5,6,4,8,4,4,3,True,True
WAS,DEN,5,4,6,2,4,6,4,2,4,2,6,6,False,True
TEN,LA,6,7,7,8,3,5,6,5,4,8,5,4,False,False
NYJ,LAC,4,6,5,5,2,6,7,4,3,4,6,1,False,False
SF,JAX,4,7,4,5,5,6,7,1,4,7,6,1,False,True
DAL,SEA,6,6,4,6,4,4,4,4,4,5,4,4,False,False
ARI,NYG,5,2,6,2,3,3,3,8,3,1,5,6,False,True
HOU,PIT,3,8,4,8,3,6,8,3,4,6,8,3,False,False
PHI,OAK,8,4,8,3,7,3,4,6,8,3,2,6,False,True
NYG,WAS,2,5,3,3,3,8,4,6,1,4,6,6,True,True
NE,NYJ,8,4,7,2,8,8,2,6,8,3,2,6,True,True
MIN,CHI,8,4,8,3,6,1,1,4,5,1,1,3,True,True
DET,GB,6,5,5,4,5,7,2,6,6,3,6,6,True,True
IND,HOU,3,3,4,2,1,8,3,6,1,4,7,8,True,True
PIT,CLE,8,1,7,1,8,3,2,5,6,1,3,7,True,True
PHI,DAL,8,6,8,7,7,3,4,4,8,4,2,4,True,False
LA,SF,7,4,5,4,6,5,5,6,8,4,4,6,True,False
LAC,OAK,6,4,6,3,7,4,4,6,4,3,1,6,True,True
DEN,KC,4,7,5,5,4,2,7,7,2,6,6,4,True,False
TEN,JAX,6,7,7,5,3,5,7,1,4,7,5,1,True,True
TB,NO,4,7,5,5,6,8,8,5,4,8,6,4,True,True
MIA,BUF,4,6,5,4,2,5,2,7,2,3,7,5,True,False
SEA,ARI,6,5,5,4,4,4,3,3,5,3,4,5,True,False
ATL,CAR,7,7,6,6,6,4,4,4,4,5,3,4,True,True
BAL,CIN,6,5,6,4,2,4,1,5,6,2,3,5,True,False
